omega alpha beta E variance acceptance
0.010000 0.009500 0.009031 18.098578 29.989792 0.000000 0.528629 
0.500000 0.475062 0.451309 6.461337 11.282988 0.000000 0.528743 
1.000000 0.950500 0.902619 5.470445 6.870115 0.000000 0.526306 
