0.010000 0.800000 0.030767 0.000015 0.549273 
0.010000 0.850000 0.030386 0.000008 0.537233 
0.010000 0.900000 0.030164 0.000003 0.526783 
0.010000 0.950000 0.030042 0.000001 0.515470 
0.010000 1.000000 0.030000 0.000000 0.504284 
0.010000 1.050000 0.030035 0.000001 0.494565 
0.010000 1.100000 0.030138 0.000003 0.486044 
0.010000 1.150000 0.030293 0.000006 0.475953 
0.500000 0.800000 1.538802 0.038283 0.569551 
0.500000 0.850000 1.519057 0.019622 0.559223 
0.500000 0.900000 1.508426 0.008357 0.547145 
0.500000 0.950000 1.501933 0.001960 0.537070 
0.500000 1.000000 1.500000 0.000000 0.526753 
0.500000 1.050000 1.502043 0.001763 0.517066 
0.500000 1.100000 1.507025 0.006777 0.508000 
0.500000 1.150000 1.514260 0.014863 0.498453 
1.000000 0.800000 3.072356 0.150111 0.569133 
1.000000 0.850000 3.038722 0.079592 0.557431 
1.000000 0.900000 3.016370 0.033474 0.546620 
1.000000 0.950000 3.004391 0.007946 0.536242 
1.000000 1.000000 3.000000 0.000000 0.525904 
1.000000 1.050000 3.003543 0.007143 0.516556 
1.000000 1.100000 3.013857 0.027235 0.506926 
1.000000 1.150000 3.028544 0.059451 0.497716 
